project,n,pos,f1,auc,recall,precision,effort_n,ifa,recall_at_20_percent_effort,effort_at_20_percent_loc_recall
ant-ivy,355,67,0.492957746,0.823745854,0.52238806,0.466666667,35,6.8,0.210780045,0.362346166
commons-bcel,165,12,0.16,0.730936819,0.166666667,0.153846154,2,0.5,0.034090909,0.286971831
commons-beanutils,123,8,0.266666667,0.9,0.25,0.285714286,2,3.5,0.5,0.278294574
commons-codec,153,8,0.526315789,0.925862069,0.625,0.454545455,5,42.6,0.266666667,0.384541379
commons-collections,365,10,0.285714286,0.927605634,0.3,0.272727273,3,11.66666667,0.291666667,0.236546437
commons-compress,327,36,0.533333333,0.85395189,0.555555556,0.512820513,20,5.65,0.349448052,0.303038595
commons-configuration,368,31,0.530612245,0.926868958,0.419354839,0.722222222,13,23.61538462,0.034615385,0.530172213
commons-dbcp,208,12,0.173913043,0.713435374,0.166666667,0.181818182,2,14.5,0,0.671455939
commons-digester,216,4,0.25,0.918632075,0.25,0.25,1,12,0,0.448275862
commons-io,229,15,0.181818182,0.852647975,0.133333333,0.285714286,2,4.5,0.6,0.128289474
commons-jcs,167,18,0.4,0.823639075,0.388888889,0.411764706,7,15.14285714,0.166666667,0.254972247
commons-lang,595,30,0.346153846,0.898289086,0.3,0.409090909,9,15.44444444,0.084656085,0.389200577
commons-math,806,67,0.44295302,0.859047119,0.492537313,0.402439024,33,12.24242424,0.194782265,0.322989583
commons-net,225,24,0.227272727,0.772595357,0.208333333,0.25,5,6,0.15,0.389880952
commons-scxml,110,10,0.434782609,0.911,1,0.277777778,10,15.6,0.228571429,0.314375773
commons-validator,121,8,0.545454545,0.846238938,0.375,1,3,5.333333333,0.060606061,0.385756057
commons-vfs,223,23,0.29787234,0.816304348,0.304347826,0.291666667,7,30.42857143,0.025210084,0.52159227
giraph,170,33,0.481927711,0.754257908,0.606060606,0.4,20,25.65,0.218675214,0.310771403
gora,111,8,0.230769231,0.800970874,0.375,0.166666667,3,24,0.172222222,0.213487732
opennlp,218,19,0.333333333,0.84792383,0.315789474,0.352941176,6,9.833333333,0.333333333,0.359145022
parquet-mr,225,32,0.441176471,0.855084197,0.46875,0.416666667,15,27.6,0.289267793,0.277831011
