project,n,pos,f1,auc,recall,precision,effort_n,ifa,recall_at_20_percent_effort,effort_at_20_percent_loc_recall
ant-ivy,355,67,0.515151515,0.851730929,0.507462687,0.523076923,34,6.117647059,0.140753968,0.38586378
commons-bcel,165,12,0.380952381,0.907407407,0.333333333,0.444444444,4,2.75,0.0625,0.294318182
commons-beanutils,123,8,0.533333333,0.944565217,0.5,0.571428571,4,8.25,0,0.564351058
commons-codec,153,8,0.461538462,0.948275862,0.375,0.6,3,43,0.4,0.308026114
commons-collections,365,10,0.52173913,0.928169014,0.6,0.461538462,6,8.5,0.309150327,0.209107262
commons-compress,327,36,0.338983051,0.829419626,0.277777778,0.434782609,10,7.3,0.084313725,0.462213848
commons-configuration,368,31,0.6,0.916339619,0.483870968,0.789473684,15,27.46666667,0.038888889,0.534200237
commons-dbcp,208,12,0.4,0.723214286,0.416666667,0.384615385,5,17,0,0.45006114
commons-digester,216,4,0.25,0.936320755,0.25,0.25,1,7,0,0.222222222
commons-io,229,15,0.363636364,0.907165109,0.266666667,0.571428571,4,9,0.25,0.25539539
commons-jcs,167,18,0.571428571,0.838553318,0.555555556,0.588235294,10,11.3,0.206666667,0.272996979
commons-lang,595,30,0.355555556,0.879174041,0.266666667,0.533333333,8,15.5,0.262896825,0.289557704
commons-math,806,67,0.550724638,0.897925797,0.567164179,0.535211268,38,7.894736842,0.200654836,0.319469624
commons-net,225,24,0.352941176,0.811981758,0.25,0.6,6,1.166666667,0.263888889,0.175210438
commons-scxml,110,10,0.418604651,0.881,0.9,0.272727273,9,16.44444444,0.12962963,0.390664368
commons-validator,121,8,0.615384615,0.967920354,0.5,0.8,4,4.25,0.045454545,0.454395933
commons-vfs,223,23,0.256410256,0.803695652,0.217391304,0.3125,5,15.8,0.135294118,0.445540645
giraph,170,33,0.578313253,0.840964388,0.727272727,0.48,24,23.41666667,0.200854701,0.364381165
gora,111,8,0.266666667,0.813106796,0.5,0.181818182,4,29.5,0.095833333,0.395790445
opennlp,218,19,0.333333333,0.837080138,0.368421053,0.304347826,7,8.857142857,0.122857143,0.393117914
parquet-mr,225,32,0.657142857,0.951910622,0.71875,0.605263158,23,15.52173913,0.208353369,0.31266778
