project,n,pos,f1,auc,recall,precision,effort_n,ifa,recall_at_20_percent_effort,effort_at_20_percent_loc_recall
ant-ivy,355,67,0.533333333,0.832452322,0.537313433,0.529411765,36,6.833333333,0.175987654,0.353450001
commons-bcel,165,12,0.285714286,0.846949891,0.25,0.333333333,3,0.666666667,0.033333333,0.315656566
commons-beanutils,123,8,0.4,0.92173913,0.375,0.428571429,3,6,0,0.435849057
commons-codec,153,8,0.714285714,0.987068966,0.625,0.833333333,5,37,0.106666667,0.412115549
commons-collections,365,10,0.25,0.892112676,0.2,0.333333333,2,35.5,0.395833333,0.377829849
commons-compress,327,36,0.296296296,0.827987782,0.222222222,0.444444444,8,4.875,0.083333333,0.429778174
commons-configuration,368,31,0.52173913,0.935962477,0.387096774,0.8,12,16.83333333,0.0625,0.533022167
commons-dbcp,208,12,0.307692308,0.728316327,0.333333333,0.285714286,4,4.75,0,0.358955939
commons-digester,216,4,0.5,0.878537736,0.5,0.5,2,3,0.277777778,0.302350427
commons-io,229,15,0.4,0.900623053,0.333333333,0.5,5,8.2,0.04,0.334081793
commons-jcs,167,18,0.322580645,0.789709172,0.277777778,0.384615385,5,13.2,0.383333333,0.215930813
commons-lang,595,30,0.177777778,0.884896755,0.133333333,0.266666667,4,4.5,0.291666667,0.179799363
commons-math,806,67,0.455284553,0.884696948,0.417910448,0.5,28,4.928571429,0.288473197,0.28727851
commons-net,225,24,0.258064516,0.762852405,0.166666667,0.571428571,4,2.25,0.2375,0.179166667
commons-scxml,110,10,0.347826087,0.833,0.8,0.222222222,8,16.875,0.25,0.331372752
commons-validator,121,8,0.545454545,0.978982301,0.375,1,3,4,0.060606061,0.389097744
commons-vfs,223,23,0.216216216,0.825434783,0.173913043,0.285714286,4,25.25,0.142857143,0.590991682
giraph,170,33,0.583333333,0.829683698,0.636363636,0.538461538,21,20.04761905,0.173300773,0.302688945
gora,111,8,0.303030303,0.805825243,0.625,0.2,5,27.2,0.156666667,0.395157764
opennlp,218,19,0.3125,0.811161069,0.263157895,0.384615385,5,7.8,0.066666667,0.297233766
parquet-mr,225,32,0.75,0.943490933,0.75,0.75,24,17.95833333,0.195505312,0.279190137
