project,n,pos,f1,auc,recall,precision,effort_n,ifa,recall_at_20_percent_effort,effort_at_20_percent_loc_recall
ant-ivy,355,67,0.598425197,0.860333748,0.567164179,0.633333333,38,7.552631579,0.155095459,0.393385913
commons-bcel,165,12,0.466666667,0.915577342,0.583333333,0.388888889,7,2,0.055194805,0.430132309
commons-beanutils,123,8,0.5,0.970652174,0.5,0.5,4,9.5,0,0.468610635
commons-codec,153,8,0.666666667,0.95862069,0.625,0.714285714,5,18.4,0.273333333,0.275227001
commons-collections,365,10,0.434782609,0.909014085,0.5,0.384615385,5,31.2,0.16,0.27317908
commons-compress,327,36,0.333333333,0.834478809,0.25,0.5,9,7.444444444,0.185185185,0.478233012
commons-configuration,368,31,0.35,0.942662965,0.225806452,0.777777778,7,28.85714286,0.023809524,0.53817527
commons-dbcp,208,12,0.37037037,0.746173469,0.416666667,0.333333333,5,13.8,0,0.357673025
commons-digester,216,4,0.571428571,0.746462264,0.5,0.666666667,2,3,0.333333333,0.237179487
commons-io,229,15,0.48,0.911214953,0.4,0.6,6,3.666666667,0.2,0.462470071
commons-jcs,167,18,0.451612903,0.787844892,0.388888889,0.538461538,7,9.857142857,0.214285714,0.287802818
commons-lang,595,30,0.4,0.913451327,0.333333333,0.5,10,13.1,0.142857143,0.380298299
commons-math,806,67,0.575757576,0.901339042,0.567164179,0.584615385,38,8.368421053,0.207381886,0.350949394
commons-net,225,24,0.137931034,0.766583748,0.083333333,0.4,2,1.5,0,0.333333333
commons-scxml,110,10,0.434782609,0.909,1,0.277777778,10,15.5,0.1,0.379557635
commons-validator,121,8,0.222222222,0.936946903,0.125,1,1,0,0.181818182,0.25
commons-vfs,223,23,0.333333333,0.838913043,0.260869565,0.461538462,6,10.66666667,0.121362229,0.481122781
giraph,170,33,0.675675676,0.855562929,0.757575758,0.609756098,25,24.36,0.267794872,0.33401708
gora,111,8,0.2,0.752427184,0.375,0.136363636,3,36.66666667,0.083333333,0.486437764
opennlp,218,19,0.487804878,0.882041788,0.526315789,0.454545455,10,9.7,0.256,0.460808204
parquet-mr,225,32,0.655737705,0.906897668,0.625,0.689655172,20,19.8,0.214177227,0.295336611
