project,n,pos,f1,auc,recall,precision,effort_n,ifa,recall_at_20_percent_effort,effort_at_20_percent_loc_recall
ant-ivy,355,67,0.434108527,0.826544362,0.417910448,0.451612903,28,7.071428571,0.170813492,0.355631974
commons-bcel,165,12,0.416666667,0.928104575,0.416666667,0.416666667,5,4.2,0.059090909,0.40047802
commons-beanutils,123,8,0.285714286,0.933695652,0.25,0.333333333,2,6.5,0,0.596969697
commons-codec,153,8,0.714285714,0.879310345,0.625,0.833333333,5,3.4,0.373333333,0.218405018
commons-collections,365,10,0.363636364,0.882816901,0.4,0.333333333,4,24.75,0.197916667,0.295039106
commons-compress,327,36,0.444444444,0.839347079,0.388888889,0.518518519,14,5.785714286,0.215898177,0.360501171
commons-configuration,368,31,0.576923077,0.927156121,0.483870968,0.714285714,15,24.46666667,0.041666667,0.454572256
commons-dbcp,208,12,0.322580645,0.776360544,0.416666667,0.263157895,5,12.6,0.066666667,0.478367775
commons-digester,216,4,0.266666667,0.825471698,0.5,0.181818182,2,8,0.194444444,0.287393162
commons-io,229,15,0.2,0.933021807,0.133333333,0.4,2,6,0.7,0.155364372
commons-jcs,167,18,0.516129032,0.814690529,0.444444444,0.615384615,8,15.125,0.258333333,0.250448915
commons-lang,595,30,0.32,0.881710914,0.266666667,0.4,8,21.5,0.172619048,0.323073772
commons-math,806,67,0.434108527,0.865873609,0.417910448,0.451612903,28,13.60714286,0.151438463,0.369880859
commons-net,225,24,0.303030303,0.789800995,0.208333333,0.555555556,5,2.6,0.19,0.244166667
commons-scxml,110,10,0.363636364,0.895,0.8,0.235294118,8,10.25,0.30952381,0.278356984
commons-validator,121,8,0.363636364,0.914823009,0.25,0.666666667,2,2.5,0.090909091,0.282894737
commons-vfs,223,23,0.277777778,0.808695652,0.217391304,0.384615385,5,15.4,0.324015922,0.267956607
giraph,170,33,0.575,0.833001548,0.696969697,0.489361702,23,24.65217391,0.224563359,0.335932666
gora,111,8,0.222222222,0.686893204,0.375,0.157894737,3,23.33333333,0.361111111,0.155687145
opennlp,218,19,0.325581395,0.832319492,0.368421053,0.291666667,7,5.857142857,0.122857143,0.404393825
parquet-mr,225,32,0.745762712,0.912240933,0.6875,0.814814815,22,22.09090909,0.220859517,0.307362102
