project,n,pos,f1,auc,recall,precision,effort_n,ifa,recall_at_20_percent_effort,effort_at_20_percent_loc_recall
ant-ivy,355,67,0.544117647,0.832866915,0.552238806,0.536231884,37,5.459459459,0.200212355,0.337836739
commons-bcel,165,12,0.333333333,0.881263617,0.333333333,0.333333333,4,4.75,0.073863636,0.32174029
commons-beanutils,123,8,0.588235294,0.960869565,0.625,0.555555556,5,8,0,0.558639222
commons-codec,153,8,0.666666667,0.960344828,0.5,1,4,45.5,0.341666667,0.417079493
commons-collections,365,10,0.5,0.922535211,0.6,0.428571429,6,31.33333333,0.183823529,0.337992899
commons-compress,327,36,0.310344828,0.87447499,0.25,0.409090909,9,6.666666667,0.23653906,0.328202287
commons-configuration,368,31,0.693877551,0.960371398,0.548387097,0.944444444,17,31.05882353,0.096813725,0.562125379
commons-dbcp,208,12,0.37037037,0.746173469,0.416666667,0.333333333,5,13.2,0.2,0.33698337
commons-digester,216,4,0.333333333,0.688679245,0.25,0.5,1,10,0,0.461538462
commons-io,229,15,0.347826087,0.914330218,0.266666667,0.5,4,10,0,0.296086642
commons-jcs,167,18,0.512820513,0.829231916,0.555555556,0.476190476,10,9.1,0.276666667,0.255757446
commons-lang,595,30,0.36,0.900884956,0.3,0.45,9,16.77777778,0.092592593,0.40857541
commons-math,806,67,0.510638298,0.884272817,0.537313433,0.486486486,36,9.388888889,0.18306112,0.317865162
commons-net,225,24,0.322580645,0.858416252,0.208333333,0.714285714,5,2.8,0.216666667,0.298888889
commons-scxml,110,10,0.434782609,0.925,1,0.277777778,10,15.7,0.1,0.357519332
commons-validator,121,8,0.222222222,0.98119469,0.125,1,1,0,0.181818182,0.25
commons-vfs,223,23,0.325581395,0.868695652,0.304347826,0.35,7,19.85714286,0.094869527,0.54396472
giraph,170,33,0.634146341,0.854456979,0.787878788,0.530612245,26,21.46153846,0.224112426,0.383370676
gora,111,8,0.333333333,0.813106796,0.75,0.214285714,6,17.5,0.311111111,0.269059235
opennlp,218,19,0.390243902,0.864057128,0.421052632,0.363636364,8,7.375,0.118333333,0.415724307
parquet-mr,225,32,0.779661017,0.943814767,0.71875,0.851851852,23,21.39130435,0.323271055,0.279315452
