project,n,pos,f1,auc,recall,precision,effort_n,ifa,recall_at_20_percent_effort,effort_at_20_percent_loc_recall
ant-ivy,355,67,0.495412844,0.860074627,0.402985075,0.642857143,27,7,0.193583186,0.355609108
commons-bcel,165,12,0.210526316,0.869281046,0.166666667,0.285714286,2,3.5,0.125,0.251515152
commons-beanutils,123,8,0.625,0.954347826,0.625,0.625,5,8.2,0,0.557758719
commons-codec,153,8,0.363636364,0.956896552,0.25,0.666666667,2,98,0,0.636808756
commons-collections,365,10,0.454545455,0.947323944,0.5,0.416666667,5,27.6,0.165686275,0.343411177
commons-compress,327,36,0.310344828,0.795150821,0.25,0.409090909,9,6.444444444,0.121693122,0.388168265
commons-configuration,368,31,0.545454545,0.963338758,0.387096774,0.923076923,12,31.33333333,0.104166667,0.536957915
commons-dbcp,208,12,0.380952381,0.744897959,0.333333333,0.444444444,4,7.5,0,0.511673851
commons-digester,216,4,0.444444444,0.975235849,0.5,0.4,2,18,0,0.603632479
commons-io,229,15,0.454545455,0.943302181,0.333333333,0.714285714,5,9,0.066666667,0.29064115
commons-jcs,167,18,0.551724138,0.832587621,0.444444444,0.727272727,8,12.25,0.129166667,0.302619111
commons-lang,595,30,0.355555556,0.877640118,0.266666667,0.533333333,8,19.25,0.068452381,0.410971145
commons-math,806,67,0.545454545,0.900591764,0.492537313,0.611111111,33,11.57575758,0.162027535,0.355044001
commons-net,225,24,0.285714286,0.814883914,0.166666667,1,4,1,0.2375,0.180208333
commons-scxml,110,10,0.580645161,0.928,0.9,0.428571429,9,18.44444444,0.203703704,0.408467633
commons-validator,121,8,0.615384615,0.936946903,0.5,0.8,4,4.25,0.295454545,0.432957393
commons-vfs,223,23,0.133333333,0.871956522,0.086956522,0.285714286,2,33.5,0.088235294,0.569209386
giraph,170,33,0.636363636,0.860871489,0.636363636,0.636363636,21,15.14285714,0.250752951,0.314702253
gora,111,8,0.3,0.786407767,0.375,0.25,3,15,0.166666667,0.362289715
opennlp,218,19,0.275862069,0.845807987,0.210526316,0.4,4,8,0.416666667,0.372044853
parquet-mr,225,32,0.733333333,0.936852332,0.6875,0.785714286,22,19.72727273,0.202353896,0.32772194
