project,n,pos,f1,auc,recall,precision,effort_n,ifa,recall_at_20_percent_effort,effort_at_20_percent_loc_recall
ant-ivy,355,67,0.528,0.840744196,0.492537313,0.568965517,33,6.818181818,0.200103415,0.383115483
commons-bcel,165,12,0.285714286,0.809912854,0.333333333,0.25,4,3,0.042045455,0.442306872
commons-beanutils,123,8,0.142857143,0.929347826,0.125,0.166666667,1,8,0,0.6
commons-codec,153,8,0.461538462,0.964655172,0.375,0.6,3,0.333333333,0.122222222,0.245238095
commons-collections,365,10,0.352941176,0.913239437,0.3,0.428571429,3,28.33333333,0.25,0.144564223
commons-compress,327,36,0.347826087,0.84087438,0.333333333,0.363636364,12,6.916666667,0.234199134,0.315475336
commons-configuration,368,31,0.510638298,0.935100986,0.387096774,0.75,12,17.75,0.123263889,0.469427853
commons-dbcp,208,12,0.380952381,0.712585034,0.333333333,0.444444444,4,21.5,0,0.458481087
commons-digester,216,4,0,0.780660377,0,0,0,,,
commons-io,229,15,0.296296296,0.903426791,0.266666667,0.333333333,4,4.5,0.333333333,0.234698098
commons-jcs,167,18,0.37037037,0.821401939,0.277777778,0.555555556,5,15.4,0.166666667,0.229792403
commons-lang,595,30,0.271186441,0.885545723,0.266666667,0.275862069,8,14.875,0.373214286,0.288087413
commons-math,806,67,0.448979592,0.89895583,0.492537313,0.4125,33,9.454545455,0.196384659,0.319070693
commons-net,225,24,0.27027027,0.734452736,0.208333333,0.384615385,5,1.8,0.15,0.261904762
commons-scxml,110,10,0.428571429,0.901,0.9,0.28125,9,17.33333333,0.111111111,0.399004248
commons-validator,121,8,0.769230769,0.966814159,0.625,1,5,2.8,0.436363636,0.304021417
commons-vfs,223,23,0.176470588,0.799782609,0.130434783,0.272727273,3,35,0,0.514991182
giraph,170,33,0.53125,0.824153948,0.515151515,0.548387097,17,20.64705882,0.128506787,0.371234505
gora,111,8,0.3,0.844660194,0.375,0.25,3,40.66666667,0,0.401576955
opennlp,218,19,0.315789474,0.85718064,0.315789474,0.315789474,6,9.166666667,0.11,0.278595479
parquet-mr,225,32,0.459016393,0.883257772,0.4375,0.482758621,14,27.64285714,0.251403061,0.29269216
