project,n,pos,f1,auc,recall,precision,recall_at_20_percent_effort,effort_at_20_percent_LOC_recall,p_opt
ant-ivy,355,67,0.525423729,0.848932421,0.462686567,0.607843137,0.059701493,0.373162205,0.54413946
commons-bcel,165,12,0.272727273,0.861111111,0.25,0.3,0,0.780552066,0.162753129
commons-beanutils,123,8,0.533333333,0.952173913,0.5,0.571428571,0,0.345371406,0.597321847
commons-codec,153,8,0.571428571,0.952586207,0.5,0.666666667,0.25,0.025617466,0.795569869
commons-collections,365,10,0.5,0.914929577,0.6,0.428571429,0.4,0.077898455,0.751860119
commons-compress,327,36,0.338461538,0.802596411,0.305555556,0.379310345,0.055555556,0.303744198,0.62707837
commons-configuration,368,31,0.577777778,0.940461376,0.419354839,0.928571429,0,0.482954954,0.416373098
commons-dbcp,208,12,0.416666667,0.697704082,0.416666667,0.416666667,0,0.373953156,0.367261072
commons-digester,216,4,0.285714286,0.808962264,0.25,0.333333333,0.25,0.198503181,0.489934008
commons-io,229,15,0.2,0.92741433,0.133333333,0.4,1,0.038610698,0.894544215
commons-jcs,167,18,0.518518519,0.842654735,0.388888889,0.777777778,0.222222222,0.107138306,0.583232558
commons-lang,595,30,0.285714286,0.902536873,0.233333333,0.368421053,0.166666667,0.446078491,0.603353128
commons-math,806,67,0.488888889,0.882859047,0.492537313,0.485294118,0.134328358,0.259122991,0.621523483
commons-net,225,24,0.294117647,0.807421227,0.208333333,0.5,0,0.597618164,0.204684235
commons-scxml,110,10,0.409090909,0.903,0.9,0.264705882,0.2,0.174266486,0.624468088
commons-validator,121,8,0.714285714,0.949115044,0.625,0.833333333,0.75,3.70E-13,0.780458107
commons-vfs,223,23,0.1875,0.855434783,0.130434783,0.333333333,0,0.837924928,0.159797708
giraph,170,33,0.58974359,0.836761778,0.696969697,0.511111111,0.181818182,0.243243937,0.457715653
gora,111,8,0.322580645,0.816747573,0.625,0.217391304,0.375,0.083212863,0.683715061
opennlp,218,19,0.285714286,0.817773076,0.368421053,0.233333333,0.210526316,0.078039123,0.548592919
parquet-mr,225,32,0.696969697,0.949158031,0.71875,0.676470588,0.0625,0.361483239,0.484687662
