project,n,pos,f1,auc,recall,precision,effort_n,ifa,recall_at_20_percent_effort,effort_at_20_percent_loc_recall
ant-ivy,355,67,0.155555556,0.653088723,0.104477612,0.304347826,7,12.85714286,0.152380952,0.256255146
commons-bcel,165,12,0.117647059,0.793028322,0.083333333,0.2,1,0,0,0.333333333
commons-beanutils,123,8,0,0.641304348,0,0,0,,,
commons-codec,153,8,0.181818182,0.727586207,0.125,0.333333333,1,2,0.166666667,0.388888889
commons-collections,365,10,0.181818182,0.72084507,0.3,0.130434783,3,4.333333333,0.39869281,0.075497521
commons-compress,327,36,0.186046512,0.812142039,0.111111111,0.571428571,4,1.25,0.12745098,0.441802253
commons-configuration,368,31,0.171428571,0.814492199,0.096774194,0.75,3,80,0,0.528320501
commons-dbcp,208,12,0.230769231,0.582057823,0.25,0.214285714,3,29,0,0.425073368
commons-digester,216,4,0.307692308,0.849056604,0.5,0.222222222,2,3.5,0.277777778,0.232905983
commons-io,229,15,0.1,0.714641745,0.066666667,0.2,1,12,0,0.419354839
commons-jcs,167,18,0.19047619,0.673378076,0.111111111,0.666666667,2,5,0.5,0.228739003
commons-lang,595,30,0.111111111,0.730029499,0.066666667,0.333333333,2,43,0,0.445917372
commons-math,806,67,0.211538462,0.68068992,0.164179104,0.297297297,11,6.727272727,0.283549784,0.345787107
commons-net,225,24,0.142857143,0.662106136,0.083333333,0.5,2,1.5,0.125,0.223484848
commons-scxml,110,10,0.476190476,0.897,0.5,0.454545455,5,21.4,0.033333333,0.462291425
commons-validator,121,8,0.2,0.661504425,0.125,0.5,1,0,0.181818182,0.25
commons-vfs,223,23,0.142857143,0.700217391,0.086956522,0.4,2,35.5,0.088235294,0.600523261
giraph,170,33,0.507936508,0.789427118,0.484848485,0.533333333,16,29.25,0.142895299,0.426272886
gora,111,8,0.181818182,0.652912621,0.25,0.142857143,2,43,0.125,0.334364031
opennlp,218,19,0.1875,0.607775721,0.157894737,0.230769231,3,8,0.12,0.294826573
parquet-mr,225,32,0.292682927,0.838568653,0.1875,0.666666667,6,12.66666667,0.336011905,0.175695733
