project,n,pos,f1,auc,recall,precision,effort_n,ifa,recall_at_20_percent_effort,effort_at_20_percent_loc_recall
ant-ivy,355,67,0.553846154,0.845874793,0.537313433,0.571428571,36,5.916666667,0.143279775,0.337408993
commons-bcel,165,12,0.4,0.82788671,0.333333333,0.5,4,3.25,0.0625,0.351136364
commons-beanutils,123,8,0.5,0.938043478,0.5,0.5,4,6,0,0.408461978
commons-codec,153,8,0.333333333,0.896551724,0.25,0.5,2,70.5,0.5,0.38968894
commons-collections,365,10,0.434782609,0.791549296,0.5,0.384615385,5,20.4,0.208333333,0.339646526
commons-compress,327,36,0.254545455,0.819683085,0.194444444,0.368421053,7,6.857142857,0.095238095,0.467703441
commons-configuration,368,31,0.595744681,0.939599885,0.451612903,0.875,14,28.21428571,0.077380952,0.585832201
commons-dbcp,208,12,0.37037037,0.612244898,0.416666667,0.333333333,5,16.4,0,0.453680607
commons-digester,216,4,0.2,0.880896226,0.25,0.166666667,1,5,0.5,0.166666667
commons-io,229,15,0.363636364,0.857009346,0.266666667,0.571428571,4,9.25,0.3,0.297493307
commons-jcs,167,18,0.466666667,0.834824758,0.388888889,0.583333333,7,10.42857143,0.152380952,0.243021245
commons-lang,595,30,0.177777778,0.811386431,0.133333333,0.266666667,4,22.25,0.208333333,0.268466998
commons-math,806,67,0.473684211,0.839658272,0.402985075,0.574468085,27,6.740740741,0.311431124,0.309842138
commons-net,225,24,0.285714286,0.798092869,0.208333333,0.454545455,5,1.8,0.19,0.21
commons-scxml,110,10,0.409090909,0.9,0.9,0.264705882,9,12.66666667,0.222222222,0.352488937
commons-validator,121,8,0.5,0.930309735,0.375,0.75,3,3,0.060606061,0.473484848
commons-vfs,223,23,0.41025641,0.817173913,0.347826087,0.5,8,24.125,0.069852941,0.647570441
giraph,170,33,0.617647059,0.828135368,0.636363636,0.6,21,21.38095238,0.188766789,0.412723398
gora,111,8,0.322580645,0.802184466,0.625,0.217391304,5,14,0.09,0.333161348
opennlp,218,19,0.380952381,0.814334832,0.421052632,0.347826087,8,7.75,0.1075,0.349788861
parquet-mr,225,32,0.686567164,0.926813472,0.71875,0.657142857,23,6.173913043,0.293084218,0.229477788
