project,n,pos,f1,auc,recall,precision,effort_n,ifa,recall_at_20_percent_effort,effort_at_20_percent_loc_recall
ant-ivy,355,67,0.564516129,0.869402985,0.52238806,0.614035088,35,5.942857143,0.13484127,0.346730198
commons-bcel,165,12,0.210526316,0.908496732,0.166666667,0.285714286,2,4.5,0.125,0.266666667
commons-beanutils,123,8,0.588235294,0.948913043,0.625,0.555555556,5,6.6,0,0.455803316
commons-codec,153,8,0.5,0.915517241,0.375,0.75,3,51.66666667,0.388888889,0.421737213
commons-collections,365,10,0.222222222,0.856056338,0.2,0.25,2,28,0.229166667,0.346108752
commons-compress,327,36,0.379310345,0.828942344,0.305555556,0.5,11,4.272727273,0.095670996,0.433444604
commons-configuration,368,31,0.577777778,0.956446827,0.419354839,0.928571429,13,30.61538462,0.096153846,0.596751805
commons-dbcp,208,12,0.37037037,0.738520408,0.416666667,0.333333333,5,20,0,0.463011535
commons-digester,216,4,0.571428571,0.632075472,0.5,0.666666667,2,1,0.305555556,0.194444444
commons-io,229,15,0.3,0.919626168,0.2,0.6,3,6.333333333,0.4,0.205184435
commons-jcs,167,18,0.580645161,0.791200597,0.5,0.692307692,9,7.555555556,0.177777778,0.251332354
commons-lang,595,30,0.333333333,0.878761062,0.266666667,0.444444444,8,19.5,0.098214286,0.371271798
commons-math,806,67,0.475409836,0.898996223,0.432835821,0.527272727,29,6.793103448,0.250277685,0.303619893
commons-net,225,24,0.3125,0.828150912,0.208333333,0.625,5,1.6,0.19,0.205833333
commons-scxml,110,10,0.378378378,0.907,0.7,0.259259259,7,16.28571429,0.214285714,0.369679864
commons-validator,121,8,0.545454545,0.967920354,0.375,1,3,2.666666667,0.333333333,0.318001443
commons-vfs,223,23,0.333333333,0.813478261,0.260869565,0.461538462,6,21.16666667,0.046955624,0.540600511
giraph,170,33,0.621621622,0.862862199,0.696969697,0.56097561,23,27.69565217,0.156410256,0.425250109
gora,111,8,0.210526316,0.786407767,0.25,0.181818182,2,14,0.125,0.389526277
opennlp,218,19,0.378378378,0.83919598,0.368421053,0.388888889,7,7.142857143,0.134285714,0.346707895
parquet-mr,225,32,0.72,0.950939119,0.84375,0.627906977,27,17.37037037,0.22872575,0.376647801
