project,n,pos,f1,auc,recall,precision,effort_n,ifa,recall_at_20_percent_effort,effort_at_20_percent_loc_recall
ant-ivy,355,67,0.5,0.833747927,0.432835821,0.591836735,29,7.172413793,0.154003831,0.386553655
commons-bcel,165,12,0.2,0.876906318,0.166666667,0.25,2,5.5,0.125,0.296969697
commons-beanutils,123,8,0.5,0.956521739,0.5,0.5,4,8.5,0,0.539108062
commons-codec,153,8,0.5,0.956034483,0.375,0.75,3,52,0.4,0.349500768
commons-collections,365,10,0.5,0.936338028,0.6,0.428571429,6,18.83333333,0.250735294,0.301676627
commons-compress,327,36,0.296296296,0.802691867,0.222222222,0.444444444,8,7.625,0.208333333,0.362209493
commons-configuration,368,31,0.487804878,0.937015411,0.322580645,1,10,36.5,0.008333333,0.590138558
commons-dbcp,208,12,0.4,0.74957483,0.333333333,0.5,4,20.75,0,0.48134604
commons-digester,216,4,0.222222222,0.851415094,0.25,0.2,1,4,0.5,0.138888889
commons-io,229,15,0.210526316,0.898130841,0.133333333,0.5,2,8.5,0.5,0.321960298
commons-jcs,167,18,0.413793103,0.796793438,0.333333333,0.545454545,6,11.66666667,0.238888889,0.214240341
commons-lang,595,30,0.272727273,0.892625369,0.2,0.428571429,6,18.83333333,0.146825397,0.298832581
commons-math,806,67,0.495726496,0.878738917,0.432835821,0.58,29,7.172413793,0.268152598,0.29171609
commons-net,225,24,0.322580645,0.843905473,0.208333333,0.714285714,5,0.2,0.256666667,0.166388889
commons-scxml,110,10,0.466666667,0.923,0.7,0.35,7,12.57142857,0.166666667,0.384838581
commons-validator,121,8,0.545454545,0.913716814,0.375,1,3,3,0.060606061,0.473484848
commons-vfs,223,23,0.193548387,0.856521739,0.130434783,0.375,3,27.66666667,0.058823529,0.49936043
giraph,170,33,0.603174603,0.851581509,0.575757576,0.633333333,19,22.84210526,0.189968511,0.353195128
gora,111,8,0.272727273,0.845873786,0.375,0.214285714,3,35.33333333,0.083333333,0.450335474
opennlp,218,19,0.363636364,0.854006876,0.315789474,0.428571429,6,9,0.15,0.365375982
parquet-mr,225,32,0.690909091,0.932156736,0.59375,0.826086957,19,18.42105263,0.276566416,0.271638842
