project,n,pos,f1,auc,recall,precision,recall_at_20_percent_effort,effort_at_20_percent_LOC_recall,p_opt
ant-ivy,355,67,0.504065041,0.839085821,0.462686567,0.553571429,0.925373134,1.70E-13,0.973252941
commons-bcel,165,12,0.222222222,0.667755991,0.166666667,0.333333333,0.833333333,1.20E-12,0.899182665
commons-beanutils,123,8,0.4,0.92173913,0.25,1,1,1.28E-13,0.987777065
commons-codec,153,8,0.363636364,0.905172414,0.25,0.666666667,0.875,5.71E-14,0.978239802
commons-collections,365,10,0.153846154,0.885633803,0.1,0.333333333,0.6,5.57E-14,0.886542767
commons-compress,327,36,0.271186441,0.811664758,0.222222222,0.347826087,0.916666667,8.19E-13,0.98669888
commons-configuration,368,31,0.222222222,0.932803676,0.129032258,0.8,0.838709677,3.25E-13,0.967208101
commons-dbcp,208,12,0,0.585884354,0,0,0.75,3.15E-13,0.887599108
commons-digester,216,4,0,0.849056604,0,0,0.75,8.50E-13,0.934858765
commons-io,229,15,0,0.912461059,0,0,1,1.78E-13,0.995689323
commons-jcs,167,18,0.173913043,0.772557793,0.111111111,0.4,0.722222222,3.70E-13,0.909892127
commons-lang,595,30,0.222222222,0.870265487,0.166666667,0.333333333,1,1.60E-13,0.993742437
commons-math,806,67,0.396396396,0.858249349,0.328358209,0.5,0.850746269,9.20E-14,0.942510337
commons-net,225,24,0.068965517,0.749585406,0.041666667,0.2,0.916666667,3.14E-12,0.956264156
commons-scxml,110,10,0.260869565,0.747,0.3,0.230769231,0.5,0.002867622,0.779739382
commons-validator,121,8,0.25,0.865044248,0.25,0.25,1,1.11E-12,1
commons-vfs,223,23,0.181818182,0.81673913,0.130434783,0.3,0.826086957,4.47E-13,0.94313725
giraph,170,33,0.413793103,0.759345278,0.363636364,0.48,0.818181818,1.98E-13,0.938920834
gora,111,8,0.210526316,0.797330097,0.25,0.181818182,0.875,1.05E-13,0.941727988
opennlp,218,19,0.230769231,0.854271357,0.157894737,0.428571429,0.894736842,6.07E-14,0.93466456
parquet-mr,225,32,0.260869565,0.814604922,0.1875,0.428571429,0.53125,3.03E-13,0.878471629
